"To look up a company, you can either go through the entire list (which is alphabetically sorted) or use the lookup function that I have built in.",,,,,
"Acerias Paz del Rio, S.A. (BVC:PAZRIO)",BVC:PAZRIO,Steel,Colombia,Emerging Markets,Latin America & Caribbean
"Aces Electronic Co., Ltd. (TSEC:3605)",TSEC:3605,Electronics (General),Taiwan,Emerging Markets,Small Asia
Acesian Partners Limited (Catalist:5FW),Catalist:5FW,Machinery,Singapore,Emerging Markets,Small Asia
Acesite (Phils.) Hotel Corporation (PSE:ACE),PSE:ACE,Hotel/Gaming,Philippines,Emerging Markets,Small Asia
Achal Investments Limited (BSE:538570),BSE:538570,Investments & Asset Management,India,Emerging Markets,India
ACHEM Technology Corporation (TSEC:1715),TSEC:1715,Chemical (Specialty),Taiwan,Emerging Markets,Small Asia
ACI Formulations Limited (DSE:ACIFORMULA),DSE:ACIFORMULA,Drugs (Pharmaceutical),Bangladesh,Emerging Markets,Small Asia
ACI Infocom Ltd (BSE:517356),BSE:517356,Computer Services,India,Emerging Markets,India
ACICO for Industries Co.-K.S.C. (Public) (KWSE:ACICO),KWSE:ACICO,Construction Supplies,Kuwait,Emerging Markets,Africa and Middle East
ACIL Cotton Industries Ltd (BSE:530901),BSE:530901,Retail (Distributors),India,Emerging Markets,India
Acknit Industries Limited (BSE:530043),BSE:530043,Apparel,India,Emerging Markets,India
ACL Cables PLC (COSE:ACL-N-0000),COSE:ACL-N-0000,Electrical Equipment,Sri Lanka,Emerging Markets,Small Asia
ACL Plastics PLC (COSE:APLA-N-0000),COSE:APLA-N-0000,Chemical (Basic),Sri Lanka,Emerging Markets,Small Asia
Acma Ltd. (SGX:AYV),SGX:AYV,Machinery,Singapore,Emerging Markets,Small Asia
Acme Electronics Corporation (GTSM:8121),GTSM:8121,Electronics (General),Taiwan,Emerging Markets,Small Asia
ACME Holdings Berhad (KLSE:ACME),KLSE:ACME,Electrical Equipment,Malaysia,Emerging Markets,Small Asia
Acme Printing & Packaging PLC (COSE:ACME-N-0000),COSE:ACME-N-0000,Packaging & Container,Sri Lanka,Emerging Markets,Small Asia
Acoustech Berhad (KLSE:ACOSTEC),KLSE:ACOSTEC,Electronics (Consumer & Office),Malaysia,Emerging Markets,Small Asia
Acropetal Technologies Limited (BSE:533330),BSE:533330,Computer Services,India,Emerging Markets,India
AcrossAsia Limited (SEHK:8061),SEHK:8061,Telecom. Services,Hong Kong,Emerging Markets,China
Acrow India Ltd. (BSE:513149),BSE:513149,Machinery,India,Emerging Markets,India
Acrow Misr (CASE:ACRO),CASE:ACRO,Engineering/Construction,Egypt,Emerging Markets,Africa and Middle East
Acrysil Ltd. (BSE:524091),BSE:524091,Building Materials,India,Emerging Markets,India
"ACS Motion Control, Ltd. (OTCPK:ACSE.F)",OTCPK:ACSE.F,Electronics (General),Israel,Emerging Markets,Africa and Middle East
