Company Name,Exchange:Ticker,Industry Group,Country,Broad Group,Sub Group
Sonora Gold & Silver Corp. (TSXV:SOC),TSXV:SOC,Precious Metals,Canada,"Australia, NZ and Canada",Canada
Sonoro Energy Ltd. (TSXV:SNV),TSXV:SNV,Oil/Gas (Production and Exploration),Canada,"Australia, NZ and Canada",Canada
Sonoro Metals Corp. (TSXV:SMO),TSXV:SMO,Metals & Mining,Canada,"Australia, NZ and Canada",Canada
Sora Capital Corp. (TSXV:SOR),TSXV:SOR,Investments & Asset Management,Canada,"Australia, NZ and Canada",Canada
Source Exploration Corp. (TSXV:SOP),TSXV:SOP,Precious Metals,Canada,"Australia, NZ and Canada",Canada
"Source Financial, Inc. (OTCPK:SRCF)",OTCPK:SRCF,Financial Svcs. (Non-bank & Insurance),Australia,"Australia, NZ and Canada",Australia & NZ
South American Iron & Steel Corporation Limited (ASX:SAY),ASX:SAY,Steel,Australia,"Australia, NZ and Canada",Australia & NZ
South Port New Zealand Limited (NZSE:SPN),NZSE:SPN,Shipbuilding & Marine,New Zealand,"Australia, NZ and Canada",Australia & NZ
South32 Limited (ASX:S32),ASX:S32,Metals & Mining,Australia,"Australia, NZ and Canada",Australia & NZ
Southern Arc Minerals Inc. (TSXV:SA),TSXV:SA,Metals & Mining,Canada,"Australia, NZ and Canada",Canada
Southern Cross Electrical Engineering Limited (ASX:SXE),ASX:SXE,Engineering/Construction,Australia,"Australia, NZ and Canada",Australia & NZ
Southern Cross Exploration NL (ASX:SXX),ASX:SXX,Metals & Mining,Australia,"Australia, NZ and Canada",Australia & NZ
Southern Cross Media Group Limited (ASX:SXL),ASX:SXL,Broadcasting,Australia,"Australia, NZ and Canada",Australia & NZ
Southern Crown Resources Limited (ASX:SWR),ASX:SWR,Metals & Mining,Australia,"Australia, NZ and Canada",Australia & NZ
Southern Gold Limited (ASX:SAU),ASX:SAU,Precious Metals,Australia,"Australia, NZ and Canada",Australia & NZ
Southern Hemisphere Mining Limited (ASX:SUH),ASX:SUH,Metals & Mining,Australia,"Australia, NZ and Canada",Australia & NZ
Southern Pacific Resource Corp. (OTCPK:STPJ.F),OTCPK:STPJ.F,Oil/Gas (Production and Exploration),Canada,"Australia, NZ and Canada",Canada
Southern Silver Exploration Corp. (TSXV:SSV),TSXV:SSV,Precious Metals,Canada,"Australia, NZ and Canada",Canada
SouthGobi Resources Limited (TSX:SGQ),TSX:SGQ,Coal & Related Energy,Canada,"Australia, NZ and Canada",Canada
Sovereign Gold Company Limited (ASX:SOC),ASX:SOC,Precious Metals,Australia,"Australia, NZ and Canada",Australia & NZ
Sovereign Metals Limited (ASX:SVM),ASX:SVM,Metals & Mining,Australia,"Australia, NZ and Canada",Australia & NZ
Spackman Equities Group Inc. (TSXV:SQG),TSXV:SQG,Entertainment,Canada,"Australia, NZ and Canada",Canada
Spanish Mountain Gold Ltd (TSXV:SPA),TSXV:SPA,Precious Metals,Canada,"Australia, NZ and Canada",Canada
Spark Infrastructure Group (ASX:SKI),ASX:SKI,Power,Australia,"Australia, NZ and Canada",Australia & NZ
Spark New Zealand Limited (NZSE:SPK),NZSE:SPK,Telecom. Services,New Zealand,"Australia, NZ and Canada",Australia & NZ
Sparta Capital Ltd. (TSXV:SAY.H),TSXV:SAY.H,Machinery,Canada,"Australia, NZ and Canada",Canada
Spartan Energy Corp. (TSX:SPE),TSX:SPE,Oil/Gas (Production and Exploration),Canada,"Australia, NZ and Canada",Canada
Sparton Resources Inc. (TSXV:SRI),TSXV:SRI,Coal & Related Energy,Canada,"Australia, NZ and Canada",Canada
Spearmint Resources Inc. (TSXV:SRJ),TSXV:SRJ,Precious Metals,Canada,"Australia, NZ and Canada",Canada
Specialty Fashion Group Limited (ASX:SFH),ASX:SFH,Retail (Special Lines),Australia,"Australia, NZ and Canada",Australia & NZ
Spectra Inc. (TSXV:SSA),TSXV:SSA,Auto Parts,Canada,"Australia, NZ and Canada",Canada
Spectra7 Microsystems Inc. (TSX:SEV),TSX:SEV,Semiconductor,Canada,"Australia, NZ and Canada",Canada
Spectral Medical Inc. (TSX:EDT),TSX:EDT,Healthcare Products,Canada,"Australia, NZ and Canada",Canada
Spectrum Rare Earths Limited (ASX:SPX),ASX:SPX,Metals & Mining,Australia,"Australia, NZ and Canada",Australia & NZ
Sphere 3D Corp. (NasdaqGM:ANY),NasdaqGM:ANY,Software (System & Application),Canada,"Australia, NZ and Canada",Canada
Sphinx Resources Ltd. (TSXV:SFX),TSXV:SFX,Metals & Mining,Canada,"Australia, NZ and Canada",Canada
Spicers Limited (ASX:SRS),ASX:SRS,Retail (Distributors),Australia,"Australia, NZ and Canada",Australia & NZ
Spin Master Corp. (TSX:TOY),TSX:TOY,Recreation,Canada,"Australia, NZ and Canada",Canada
Spirit Bear Capital Corp. (TSXV:SBG.H),TSXV:SBG.H,Investments & Asset Management,Canada,"Australia, NZ and Canada",Canada
"Spirit Exploration, Inc. (OTCPK:SPXP)",OTCPK:SPXP,Metals & Mining,Canada,"Australia, NZ and Canada",Canada
Spitfire Oil Ltd. (AIM:SRO),AIM:SRO,Coal & Related Energy,Australia,"Australia, NZ and Canada",Australia & NZ
Spitfire Resources Limited (ASX:SPI),ASX:SPI,Metals & Mining,Australia,"Australia, NZ and Canada",Australia & NZ
SponsorsOne Inc. (DB:5SO),DB:5SO,Software (Internet),Canada,"Australia, NZ and Canada",Canada
Spookfish Limited (ASX:SFI),ASX:SFI,Software (Internet),Australia,"Australia, NZ and Canada",Australia & NZ
Sportscene Group Inc. (TSXV:SPS.A),TSXV:SPS.A,Restaurant/Dining,Canada,"Australia, NZ and Canada",Canada
Spot Coffee (Canada) Ltd. (TSXV:SPP),TSXV:SPP,Restaurant/Dining,Canada,"Australia, NZ and Canada",Canada
Spot Mobile International Ltd. (OTCPK:RPID),OTCPK:RPID,Telecom (Wireless),Canada,"Australia, NZ and Canada",Canada
Spotless Group Holdings Limited (ASX:SPO),ASX:SPO,Business & Consumer Services,Australia,"Australia, NZ and Canada",Australia & NZ
Spring FG Limited (ASX:SFL),ASX:SFL,Financial Svcs. (Non-bank & Insurance),Australia,"Australia, NZ and Canada",Australia & NZ
Sprintex Limited (ASX:SIX),ASX:SIX,Auto Parts,Australia,"Australia, NZ and Canada",Australia & NZ
Sprott Inc. (TSX:SII),TSX:SII,Investments & Asset Management,Canada,"Australia, NZ and Canada",Canada
Sprott Resource Corp. (TSX:SCP),TSX:SCP,Oil/Gas (Production and Exploration),Canada,"Australia, NZ and Canada",Canada
SQI Diagnostics Inc. (TSXV:SQD),TSXV:SQD,Healthcare Products,Canada,"Australia, NZ and Canada",Canada
SRG Limited (ASX:STS),ASX:STS,Engineering/Construction,Australia,"Australia, NZ and Canada",Australia & NZ
