Company Name,Exchange:Ticker,Industry Group,Country,Broad Group,Sub Group
iStar Inc. (NYSE:STAR),NYSE:STAR,R.E.I.T.,United States,United States,United States
iTalk Inc. (OTCPK:TALK),OTCPK:TALK,Telecom (Wireless),United States,United States,United States
ITC Holdings Corp. (NYSE:ITC),NYSE:ITC,Power,United States,United States,United States
"iTech Medical, Inc. (OTCPK:IMSU)",OTCPK:IMSU,Healthcare Products,United States,United States,United States
iTeknik Holding Corporation (OTCPK:ITKH),OTCPK:ITKH,Telecom. Services,United States,United States,United States
"Iteris, Inc. (AMEX:ITI)",AMEX:ITI,Electronics (General),United States,United States,United States
ITEX Corp. (OTCPK:ITEX),OTCPK:ITEX,Business & Consumer Services,United States,United States,United States
Itoco Mining Corp. (OTCPK:ITMC),OTCPK:ITMC,Oilfield Svcs/Equip.,United States,United States,United States
Itonis Inc. (OTCPK:ITNS),OTCPK:ITNS,Software (Internet),United States,United States,United States
"Itron, Inc. (NasdaqGS:ITRI)",NasdaqGS:ITRI,Electronics (General),United States,United States,United States
