"To look up a company, you can either go through the entire list (which is alphabetically sorted) or use the lookup function that I have built in.",,,,,
Company name,"The Daiei,Inc. (TSE:8263)",Please use the scrolling list to find your company,,,
Industry Group =,Insurance (Life),,,,
Country =,Japan,,,,
Broad Geographical group =,Japan,,,,
Sub Group =,Japan,,,,
"If you want to find the companies in a sector, use the industry sorted worksheet in this spreadsheet",,,,,
,,,,,
,,,,,
Company Name,Exchange:Ticker,Industry Group,Country,Broad Group,Sub Group
"ASTMAX Co., Ltd. (JASDAQ:7162)",JASDAQ:7162,Investments & Asset Management,Japan,Japan,Japan
"Asukanet Co., Ltd. (TSE:2438)",TSE:2438,Business & Consumer Services,Japan,Japan,Japan
"Asunaro Aoki Construction Co.,Ltd. (TSE:1865)",TSE:1865,Engineering/Construction,Japan,Japan,Japan
"AT-Group Co., Ltd. (NSE:8293)",NSE:8293,Retail (Automotive),Japan,Japan,Japan
Ateam Inc. (TSE:3662),TSE:3662,Software (Internet),Japan,Japan,Japan
Atect Corporation (JASDAQ:4241),JASDAQ:4241,Semiconductor Equip,Japan,Japan,Japan
ATOM Corporation (TSE:7412),TSE:7412,Restaurant/Dining,Japan,Japan,Japan
"Atom Livin Tech Co.,Ltd. (JASDAQ:3426)",JASDAQ:3426,Building Materials,Japan,Japan,Japan
Atomix Co. Ltd. (JASDAQ:4625),JASDAQ:4625,Chemical (Specialty),Japan,Japan,Japan
"Atsugi Co.,Ltd. (TSE:3529)",TSE:3529,Apparel,Japan,Japan,Japan
AuBEX CORPORATION (TSE:3583),TSE:3583,Office Equipment & Services,Japan,Japan,Japan
"Aucfan Co., Ltd. (TSE:3674)",TSE:3674,Software (Internet),Japan,Japan,Japan
"AUN Consulting, Inc. (TSE:2459)",TSE:2459,Software (Internet),Japan,Japan,Japan
"Auto Server Co., Ltd. (GTSM:5266)",GTSM:5266,Software (Internet),Japan,Japan,Japan
"Autobacs Seven Co., Ltd. (TSE:9832)",TSE:9832,Retail (Automotive),Japan,Japan,Japan
"AUTOWAVE Co., Ltd. (JASDAQ:2666)",JASDAQ:2666,Retail (Automotive),Japan,Japan,Japan
Aval Data Corporation (JASDAQ:6918),JASDAQ:6918,Semiconductor Equip,Japan,Japan,Japan
Avant Corporation (JASDAQ:3836),JASDAQ:3836,Software (System & Application),Japan,Japan,Japan
Avex Group Holdings Inc. (TSE:7860),TSE:7860,Entertainment,Japan,Japan,Japan
AViX Inc. (JASDAQ:7836),JASDAQ:7836,Semiconductor,Japan,Japan,Japan
"Awa Paper Mfg. Co., Ltd. (TSE:3896)",TSE:3896,Paper/Forest Products,Japan,Japan,Japan
Axel Mark Inc. (TSE:3624),TSE:3624,Software (System & Application),Japan,Japan,Japan
AXELL Corporation (TSE:6730),TSE:6730,Semiconductor,Japan,Japan,Japan
Axial Retailing Inc. (TSE:8255),TSE:8255,Retail (Grocery and Food),Japan,Japan,Japan
"AXYZ Co., Ltd. (JASDAQ:1381)",JASDAQ:1381,Food Processing,Japan,Japan,Japan
Azbil Corporation (TSE:6845),TSE:6845,Electronics (General),Japan,Japan,Japan
